1,2021-05-06 00:25:24.675300,200,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
2,2021-06-06 00:26:03.231824,400,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}, {'product_code': '2334', 'name': 'amortisior', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
3,2021-07-06 00:42:17.811846,1000,jim,"[{'product_code': '4242', 'name': 'gumi', 'model': ' n40', 'firm': ' WW', 'price': 1000}]"
4,2021-08-06 00:25:24.675300,200,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
5,2021-09-06 00:26:03.231824,400,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}, {'product_code': '2334', 'name': 'amortisior', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
6,2021-10-06 00:42:17.811846,1000,jim,"[{'product_code': '4242', 'name': 'gumi', 'model': ' n40', 'firm': ' WW', 'price': 1000}]"
7,2021-11-06 00:25:24.675300,200,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
8,2021-12-06 00:26:03.231824,400,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}, {'product_code': '2334', 'name': 'amortisior', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
9,2021-13-06 00:42:17.811846,1000,jim,"[{'product_code': '4242', 'name': 'gumi', 'model': ' n40', 'firm': ' WW', 'price': 1000}]"
10,2021-05-06 00:25:24.675300,200,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
11,2021-06-06 00:26:03.231824,400,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}, {'product_code': '2334', 'name': 'amortisior', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
12,2021-07-06 00:42:17.811846,1000,jim,"[{'product_code': '4242', 'name': 'gumi', 'model': ' n40', 'firm': ' WW', 'price': 1000}]"
13,2021-08-06 00:25:24.675300,200,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
14,2021-09-06 00:26:03.231824,400,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}, {'product_code': '2334', 'name': 'amortisior', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
15,2021-10-06 00:42:17.811846,1000,jim,"[{'product_code': '4242', 'name': 'gumi', 'model': ' n40', 'firm': ' WW', 'price': 1000}]"
16,2021-11-06 00:25:24.675300,200,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
17,2021-12-06 00:26:03.231824,400,jim,"[{'product_code': '2345', 'name': 'okachvane', 'model': 'n20', 'firm': 'mercedes', 'price': 200}, {'product_code': '2334', 'name': 'amortisior', 'model': 'n20', 'firm': 'mercedes', 'price': 200}]"
18,2021-13-06 00:42:17.811846,1000,jim,"[{'product_code': '4242', 'name': 'gumi', 'model': ' n40', 'firm': ' WW', 'price': 1000}]"
